file,n,m,weighted,opt,algo,con,run,rec,del
girgs/girg0100_0.soap,10001,510105,1,1000012943,gabow,8,77,0,1
girgs/girg0100_0.soap,10001,510105,1,1000012943,spaghetti,3,9846,0,0
girgs/girg0100_1.soap,10001,511391,1,1000013075,gabow,9,89,0,2
girgs/girg0100_1.soap,10001,511391,1,1000013075,spaghetti,4,12674,0,0
girgs/girg0100_2.soap,10001,510051,1,1000012954,gabow,7,78,0,1
girgs/girg0100_2.soap,10001,510051,1,1000012954,spaghetti,4,18429,0,0
girgs/girg0100_3.soap,10001,510243,1,1000012833,gabow,7,120,1,2
girgs/girg0100_3.soap,10001,510243,1,1000012833,spaghetti,14,11439,0,0
girgs/girg0100_4.soap,10001,510110,1,1000012978,gabow,8,73,0,1
girgs/girg0100_4.soap,10001,510110,1,1000012978,spaghetti,2,10604,0,0
girgs/girg0100_5.soap,10001,509947,1,1000012780,gabow,7,79,0,2
girgs/girg0100_5.soap,10001,509947,1,1000012780,spaghetti,3,11220,0,0
girgs/girg0100_6.soap,10001,509544,1,1000012877,gabow,10,80,0,1
girgs/girg0100_6.soap,10001,509544,1,1000012877,spaghetti,3,8834,0,0
girgs/girg0100_7.soap,10001,509829,1,1000012892,gabow,7,64,0,1
girgs/girg0100_7.soap,10001,509829,1,1000012892,spaghetti,3,9964,0,0
girgs/girg0100_8.soap,10001,509937,1,1000012861,gabow,11,79,0,1
girgs/girg0100_8.soap,10001,509937,1,1000012861,spaghetti,3,9130,0,0
girgs/girg0100_9.soap,10001,509539,1,1000012913,gabow,6,77,0,1
girgs/girg0100_9.soap,10001,509539,1,1000012913,spaghetti,2,9203,0,0
girgs/girg0200_0.soap,10001,1012473,1,1000010620,gabow,17,170,1,1
girgs/girg0200_0.soap,10001,1012473,1,1000010620,spaghetti,5,18538,0,0
girgs/girg0200_1.soap,10001,1008684,1,1000010641,gabow,20,161,0,1
girgs/girg0200_1.soap,10001,1008684,1,1000010641,spaghetti,4,16772,0,0
girgs/girg0200_2.soap,10001,1008858,1,1000010648,gabow,11,136,0,1
girgs/girg0200_2.soap,10001,1008858,1,1000010648,spaghetti,4,16579,0,0
girgs/girg0200_3.soap,10001,1010999,1,1000010618,gabow,11,131,0,1
girgs/girg0200_3.soap,10001,1010999,1,1000010618,spaghetti,6,16870,0,0
girgs/girg0200_4.soap,10001,1010782,1,1000010655,gabow,13,146,0,1
girgs/girg0200_4.soap,10001,1010782,1,1000010655,spaghetti,4,16804,0,0
girgs/girg0200_5.soap,10001,1010129,1,1000010652,gabow,11,151,0,1
girgs/girg0200_5.soap,10001,1010129,1,1000010652,spaghetti,4,22275,0,0
girgs/girg0200_6.soap,10001,1011125,1,1000010634,gabow,12,161,1,1
girgs/girg0200_6.soap,10001,1011125,1,1000010634,spaghetti,4,17292,0,0
girgs/girg0200_7.soap,10001,1009794,1,1000010627,gabow,10,132,0,1
girgs/girg0200_7.soap,10001,1009794,1,1000010627,spaghetti,5,17826,0,0
girgs/girg0200_8.soap,10001,1010193,1,1000010631,gabow,12,151,0,1
girgs/girg0200_8.soap,10001,1010193,1,1000010631,spaghetti,5,18068,0,0
girgs/girg0200_9.soap,10001,1009423,1,1000010611,gabow,15,165,0,1
girgs/girg0200_9.soap,10001,1009423,1,1000010611,spaghetti,5,18284,0,0
girgs/girg0300_0.soap,10001,1510404,1,1000010129,gabow,16,217,0,1
girgs/girg0300_0.soap,10001,1510404,1,1000010129,spaghetti,7,27467,0,0
girgs/girg0300_1.soap,10001,1509480,1,1000010156,gabow,15,215,1,1
girgs/girg0300_1.soap,10001,1509480,1,1000010156,spaghetti,7,28432,0,0
girgs/girg0300_2.soap,10001,1509691,1,1000010146,gabow,17,244,0,1
girgs/girg0300_2.soap,10001,1509691,1,1000010146,spaghetti,9,29259,0,0
girgs/girg0300_3.soap,10001,1506965,1,1000010143,gabow,15,204,0,1
girgs/girg0300_3.soap,10001,1506965,1,1000010143,spaghetti,7,27200,0,0
girgs/girg0300_4.soap,10001,1511345,1,1000010154,gabow,15,212,0,1
girgs/girg0300_4.soap,10001,1511345,1,1000010154,spaghetti,7,26078,0,0
girgs/girg0300_5.soap,10001,1510795,1,1000010163,gabow,16,212,0,1
girgs/girg0300_5.soap,10001,1510795,1,1000010163,spaghetti,7,26102,0,0
girgs/girg0300_6.soap,10001,1508855,1,1000010155,gabow,16,219,0,1
girgs/girg0300_6.soap,10001,1508855,1,1000010155,spaghetti,7,26259,0,0
girgs/girg0300_7.soap,10001,1510492,1,1000010157,gabow,16,211,0,1
girgs/girg0300_7.soap,10001,1510492,1,1000010157,spaghetti,12,26432,0,0
girgs/girg0300_8.soap,10001,1511504,1,1000010153,gabow,16,225,1,2
girgs/girg0300_8.soap,10001,1511504,1,1000010153,spaghetti,12,27186,0,0
girgs/girg0300_9.soap,10001,1511782,1,1000010188,gabow,15,212,0,1
girgs/girg0300_9.soap,10001,1511782,1,1000010188,spaghetti,7,25669,0,0
girgs/girg0400_0.soap,10001,2010417,1,1000010039,gabow,20,304,0,1
girgs/girg0400_0.soap,10001,2010417,1,1000010039,spaghetti,8,40719,0,0
girgs/girg0400_1.soap,10001,2009530,1,1000010043,gabow,16,289,0,1
girgs/girg0400_1.soap,10001,2009530,1,1000010043,spaghetti,7,34504,0,0
girgs/girg0400_2.soap,10001,2010390,1,1000010046,gabow,17,286,0,1
girgs/girg0400_2.soap,10001,2010390,1,1000010046,spaghetti,8,34385,0,0
girgs/girg0400_3.soap,10001,2009659,1,1000010052,gabow,18,287,0,1
girgs/girg0400_3.soap,10001,2009659,1,1000010052,spaghetti,7,34772,0,0
girgs/girg0400_4.soap,10001,2009790,1,1000010048,gabow,16,288,0,1
girgs/girg0400_4.soap,10001,2009790,1,1000010048,spaghetti,7,34340,0,0
girgs/girg0400_5.soap,10001,2009406,1,1000010045,gabow,17,289,1,1
girgs/girg0400_5.soap,10001,2009406,1,1000010045,spaghetti,8,34574,0,0
girgs/girg0400_6.soap,10001,2009726,1,1000010041,gabow,16,287,0,1
girgs/girg0400_6.soap,10001,2009726,1,1000010041,spaghetti,8,34054,0,0
girgs/girg0400_7.soap,10001,2008307,1,1000010047,gabow,16,286,0,1
girgs/girg0400_7.soap,10001,2008307,1,1000010047,spaghetti,8,33945,0,0
girgs/girg0400_8.soap,10001,2008734,1,1000010051,gabow,17,287,0,1
girgs/girg0400_8.soap,10001,2008734,1,1000010051,spaghetti,8,33724,0,0
girgs/girg0400_9.soap,10001,2010578,1,1000010052,gabow,17,290,0,1
girgs/girg0400_9.soap,10001,2010578,1,1000010052,spaghetti,7,33709,0,0
girgs/girg0500_0.soap,10001,2508343,1,1000010014,gabow,23,383,0,1
girgs/girg0500_0.soap,10001,2508343,1,1000010014,spaghetti,13,49254,0,0
girgs/girg0500_1.soap,10001,2509672,1,1000010014,gabow,24,377,0,1
girgs/girg0500_1.soap,10001,2509672,1,1000010014,spaghetti,12,49862,0,0
girgs/girg0500_2.soap,10001,2511176,1,1000010007,gabow,24,380,0,1
girgs/girg0500_2.soap,10001,2511176,1,1000010007,spaghetti,12,49887,0,0
girgs/girg0500_3.soap,10001,2509067,1,1000010012,gabow,23,376,0,1
girgs/girg0500_3.soap,10001,2509067,1,1000010012,spaghetti,13,49464,0,0
girgs/girg0500_4.soap,10001,2510610,1,1000010009,gabow,24,405,0,1
girgs/girg0500_4.soap,10001,2510610,1,1000010009,spaghetti,11,49782,0,0
girgs/girg0500_5.soap,10001,2509199,1,1000010012,gabow,23,369,0,1
girgs/girg0500_5.soap,10001,2509199,1,1000010012,spaghetti,12,49370,0,0
girgs/girg0500_6.soap,10001,2510921,1,1000010017,gabow,25,385,0,1
girgs/girg0500_6.soap,10001,2510921,1,1000010017,spaghetti,12,48519,0,0
girgs/girg0500_7.soap,10001,2511808,1,1000010015,gabow,24,392,0,1
girgs/girg0500_7.soap,10001,2511808,1,1000010015,spaghetti,12,52074,0,0
girgs/girg0500_8.soap,10001,2508936,1,1000010007,gabow,23,376,0,1
girgs/girg0500_8.soap,10001,2508936,1,1000010007,spaghetti,13,49222,0,0
girgs/girg0500_9.soap,10001,2508263,1,1000010014,gabow,25,387,0,1
girgs/girg0500_9.soap,10001,2508263,1,1000010014,spaghetti,12,49436,0,0
girgs/girg0600_0.soap,10001,3010385,1,1000010004,gabow,26,463,0,1
girgs/girg0600_0.soap,10001,3010385,1,1000010004,spaghetti,12,64860,0,0
girgs/girg0600_1.soap,10001,3009084,1,1000010002,gabow,26,476,0,1
girgs/girg0600_1.soap,10001,3009084,1,1000010002,spaghetti,12,65843,0,0
girgs/girg0600_2.soap,10001,3009834,1,1000010004,gabow,25,460,0,2
girgs/girg0600_2.soap,10001,3009834,1,1000010004,spaghetti,12,65371,0,0
girgs/girg0600_3.soap,10001,3009355,1,1000010006,gabow,25,462,0,1
girgs/girg0600_3.soap,10001,3009355,1,1000010006,spaghetti,12,65301,0,0
girgs/girg0600_4.soap,10001,3009551,1,1000010006,gabow,26,466,0,1
girgs/girg0600_4.soap,10001,3009551,1,1000010006,spaghetti,12,68424,0,0
girgs/girg0600_5.soap,10001,3012220,1,1000010006,gabow,48,774,1,2
girgs/girg0600_5.soap,10001,3012220,1,1000010006,spaghetti,17,78043,0,0
girgs/girg0600_6.soap,10001,3012453,1,1000010005,gabow,26,542,0,2
girgs/girg0600_6.soap,10001,3012453,1,1000010005,spaghetti,12,77438,0,0
girgs/girg0600_7.soap,10001,3010809,1,1000010001,gabow,27,515,0,2
