file,n,m,weighted,opt,algo,con,run,rec,del
konect/advogato.soap,5043,52109,1,700000023590,gabow,1,4,0,0
konect/advogato.soap,5043,52109,1,700000023590,spaghetti,0,1,0,0
konect/amazon0601.soap,403365,3790588,1,149002075036,gabow,204,851,26,206
konect/amazon0601.soap,403365,3790588,1,149002075036,spaghetti,37,91309,0,0
konect/cfinder-google.soap,15764,186098,1,1000113886,gabow,5,24,0,1
konect/cfinder-google.soap,15764,186098,1,1000113886,spaghetti,1,598,0,0
konect/chess.soap,7116,72041,1,640000032310,gabow,2,6,0,0
konect/chess.soap,7116,72041,1,640000032310,spaghetti,0,2,0,0
konect/cit-HepPh.soap,34402,455842,1,6258000123920,gabow,10,52,0,5
konect/cit-HepPh.soap,34402,455842,1,6258000123920,spaghetti,3,8,0,0
konect/cit-HepTh.soap,27401,379904,1,4426000104435,gabow,8,44,0,3
konect/cit-HepTh.soap,27401,379904,1,4426000104435,spaghetti,2,3,0,0
konect/citeseer.soap,365155,2095208,1,180061001036985,gabow,106,643,14,175
konect/citeseer.soap,365155,2095208,1,180061001036985,spaghetti,31,76,0,0
konect/convote.soap,220,981,1,6000001476,gabow,0,0,0,0
konect/convote.soap,220,981,1,6000001476,spaghetti,0,0,0,0
konect/dblp-cite.soap,12495,62181,1,988000085159,gabow,2,4,0,0
konect/dblp-cite.soap,12495,62181,1,988000085159,spaghetti,0,0,0,0
konect/dbpedia-all.soap,3915922,17701083,1,1677841020283696,gabow,758,5626,143,1877
konect/dbpedia-all.soap,3915922,17701083,1,1677841020283696,spaghetti,105,25197,0,0
konect/digg-friends.soap,261490,1980646,1,16484001990027,gabow,73,292,7,28
konect/digg-friends.soap,261490,1980646,1,16484001990027,spaghetti,18,240,0,0
konect/dimacs10-celegansneural.wsoap,298,4593,1,1000000336,gabow,0,0,0,0
konect/dimacs10-celegansneural.wsoap,298,4593,1,1000000336,spaghetti,0,2,0,0
konect/dimacs10-polblogs.soap,1223,34650,1,1000004408,gabow,0,4,0,0
konect/dimacs10-polblogs.soap,1223,34650,1,1000004408,spaghetti,0,35,0,0
konect/dimacs9-BAY.soap,321271,1116100,1,1002664112,gabow,47,420,10,42
konect/dimacs9-BAY.soap,321271,1116100,1,1002664112,spaghetti,6,138163,0,0
konect/dimacs9-CAL.soap,1890816,6521259,1,1015808123,gabow,264,2402,88,326
konect/dimacs9-COL.soap,435667,1478066,1,1003726607,gabow,51,480,14,53
konect/dimacs9-COL.soap,435667,1478066,1,1003726607,spaghetti,8,194937,0,0
konect/dimacs9-CTR.soap,14081817,47948642,1,1119331110,gabow,2050,20489,937,3457
konect/dimacs9-E.soap,3598624,12306681,1,1030473368,gabow,474,4728,194,657
konect/dimacs9-FLA.soap,1070377,3758278,1,1008811871,gabow,137,1288,44,161
konect/dimacs9-FLA.soap,1070377,3758278,1,1008811871,spaghetti,44,1060548,0,0
konect/dimacs9-LKS.soap,2758120,9552927,1,1022745867,gabow,384,4151,160,552
konect/dimacs9-NE.soap,1524454,5392473,1,1012312246,gabow,167,2103,87,266
konect/dimacs9-NW.soap,1207946,4028719,1,1010611349,gabow,174,1433,49,182
konect/dimacs9-NW.soap,1207946,4028719,1,1010611349,spaghetti,46,1627800,0,0
konect/dimacs9-NY.soap,264347,994446,1,1001970299,gabow,35,336,7,32
konect/dimacs9-NY.soap,264347,994446,1,1001970299,spaghetti,9,122870,0,0
konect/dimacs9-USA.soap,23947348,81655971,1,1202901744,gabow,5192,48306,3508,6959
konect/dimacs9-W.soap,6262105,21381388,1,1053068619,gabow,2304,9490,413,1233
konect/dnc-temporalGraph.soap,1834,38755,1,511000008938,gabow,0,0,0,0
konect/dnc-temporalGraph.soap,1834,38755,1,511000008938,spaghetti,0,1,0,0
konect/eat.soap,23133,334922,1,457000109289,gabow,5,23,0,1
konect/eat.soap,23133,334922,1,457000109289,spaghetti,2,6,0,0
konect/ego-gplus.soap,23614,62843,1,35000215117,gabow,2,2,0,0
konect/ego-gplus.soap,23614,62843,1,35000215117,spaghetti,0,1,0,0
konect/ego-twitter.soap,22323,54412,1,347000211493,gabow,2,3,0,0
konect/ego-twitter.soap,22323,54412,1,347000211493,spaghetti,0,2,0,0
konect/elec.soap,7067,110657,1,4708000004570,gabow,1,4,0,0
konect/elec.soap,7067,110657,1,4708000004570,spaghetti,0,1,0,0
konect/email-EuAll.soap,224833,619232,1,169991000515881,gabow,16,116,1,48
konect/email-EuAll.soap,224833,619232,1,169991000515881,spaghetti,4,23,0,0
konect/enron.soap,84385,1215426,1,8351000553019,gabow,19,34,1,4
konect/enron.soap,84385,1215426,1,8351000553019,spaghetti,7,294,0,0
konect/epinions.soap,119131,952520,1,41599000548275,gabow,27,171,2,23
konect/epinions.soap,119131,952520,1,41599000548275,spaghetti,11,95,0,0
konect/facebook-wosn-wall.soap,43954,896786,1,7293000165853,gabow,17,75,1,6
konect/facebook-wosn-wall.soap,43954,896786,1,7293000165853,spaghetti,5,45,0,0
konect/flickr-growth.soap,2173371,35121713,1,54326016543031,gabow,1877,11658,135,1301
konect/flickr-growth.soap,2173371,35121713,1,54326016543031,spaghetti,212,159346,0,0
konect/foldoc.soap,13357,133594,1,52000044680,gabow,3,12,0,1
konect/foldoc.soap,13357,133594,1,52000044680,spaghetti,1,12,0,0
konect/foodweb-baydry.soap,129,2265,1,1000000363,gabow,0,0,0,0
konect/foodweb-baydry.soap,129,2265,1,1000000363,spaghetti,0,0,0,0
konect/foodweb-baywet.soap,129,2234,1,1000000392,gabow,0,0,0,0
