file,n,m,weighted,opt,algo,con,run,rec,del
networkrepository/08blocks.wsoap,39,113,1,1000000037,gabow,0,0,0,0
networkrepository/08blocks.wsoap,39,113,1,1000000037,spaghetti,0,0,0,0
networkrepository/advogato.wsoap,2,51128,1,1000000000,gabow,0,0,0,0
networkrepository/advogato.wsoap,2,51128,1,1000000000,spaghetti,0,0,0,0
networkrepository/big.wsoap,13210,104674,1,1000000000,gabow,2,13,0,0
networkrepository/big.wsoap,13210,104674,1,1000000000,spaghetti,0,483,0,0
networkrepository/bio-celegansneural.wsoap,298,2642,1,28000000302,gabow,0,0,0,0
networkrepository/bio-celegansneural.wsoap,298,2642,1,28000000302,spaghetti,0,0,0,0
networkrepository/CAG_mat1916.wsoap,1917,197901,1,1000002016,gabow,2,7,0,0
networkrepository/CAG_mat1916.wsoap,1917,197901,1,1000002016,spaghetti,1,194,0,0
networkrepository/CAG_mat364.wsoap,365,13949,1,1000000396,gabow,0,0,0,0
networkrepository/CAG_mat364.wsoap,365,13949,1,1000000396,spaghetti,0,2,0,0
networkrepository/CAG_mat72.wsoap,73,1084,1,1000000081,gabow,0,0,0,0
networkrepository/CAG_mat72.wsoap,73,1084,1,1000000081,spaghetti,0,0,0,0
networkrepository/celegansneural.wsoap,298,2642,1,28000000302,gabow,0,0,0,0
networkrepository/celegansneural.wsoap,298,2642,1,28000000302,spaghetti,0,0,0,0
networkrepository/cfinder-google.soap,15764,186969,1,1000112372,gabow,5,22,0,1
networkrepository/cfinder-google.soap,15764,186969,1,1000112372,spaghetti,1,450,0,0
networkrepository/ch5-5-b3.wsoap,601,3000,1,1000000186,gabow,0,0,0,0
networkrepository/ch5-5-b3.wsoap,601,3000,1,1000000186,spaghetti,0,1,0,0
networkrepository/ch7-8-b5.wsoap,141121,987840,1,1000033858,gabow,20,398,11,28
networkrepository/ch7-8-b5.wsoap,141121,987840,1,1000033858,spaghetti,7,156668,0,0
networkrepository/cit-DBLP.soap,12496,62181,1,989000085182,gabow,2,4,0,0
networkrepository/cit-DBLP.soap,12496,62181,1,989000085182,spaghetti,0,1,0,0
networkrepository/cit-HepTh2007.soap,27401,379942,1,4426000103925,gabow,8,44,0,3
networkrepository/cit-HepTh2007.soap,27401,379942,1,4426000103925,spaghetti,3,6,0,0
networkrepository/cora_subelj.soap,23167,114666,1,9396000081963,gabow,4,14,0,3
networkrepository/cora_subelj.soap,23167,114666,1,9396000081963,spaghetti,1,5,0,0
networkrepository/dblp-cite.soap,12496,62181,1,989000085182,gabow,2,4,0,0
networkrepository/dblp-cite.soap,12496,62181,1,989000085182,spaghetti,0,1,0,0
networkrepository/eat.soap,23133,335474,1,457000110337,gabow,5,24,0,1
networkrepository/eat.soap,23133,335474,1,457000110337,spaghetti,2,5,0,0
networkrepository/EAT_RS.wsoap,23220,348811,1,15009000008210,gabow,5,26,0,3
networkrepository/EAT_RS.wsoap,23220,348811,1,15009000008210,spaghetti,2,2,0,0
networkrepository/EAT_SR.wsoap,23219,348807,1,455000028095,gabow,6,28,0,2
networkrepository/EAT_SR.wsoap,23219,348807,1,455000028095,spaghetti,2,5,0,0
networkrepository/eco-foodweb-baydry.wsoap,3,2139,1,1000000001,gabow,0,0,0,0
networkrepository/eco-foodweb-baydry.wsoap,3,2139,1,1000000001,spaghetti,0,0,0,0
networkrepository/econ-psmigr1.wsoap,3141,546302,1,1000012781,gabow,5,60,0,0
networkrepository/econ-psmigr1.wsoap,3141,546302,1,1000012781,spaghetti,3,1474,0,0
networkrepository/ego-gplus.soap,23614,62843,1,35000215117,gabow,2,2,0,0
networkrepository/ego-gplus.soap,23614,62843,1,35000215117,spaghetti,0,1,0,0
networkrepository/ego-twitter.soap,22323,54412,1,347000211493,gabow,2,2,0,0
networkrepository/ego-twitter.soap,22323,54412,1,347000211493,spaghetti,0,2,0,0
networkrepository/elec.soap,7067,110711,1,4708000004533,gabow,1,5,0,0
networkrepository/elec.soap,7067,110711,1,4708000004533,spaghetti,1,1,0,0
networkrepository/facebook-wosn-wall.soap,43954,915997,1,7293000165163,gabow,18,73,1,6
networkrepository/facebook-wosn-wall.soap,43954,915997,1,7293000165163,spaghetti,5,40,0,0
networkrepository/foldoc.wsoap,13357,133594,1,52000013304,gabow,3,13,0,1
networkrepository/foldoc.wsoap,13357,133594,1,52000013304,spaghetti,1,10,0,0
networkrepository/foodweb-baydry.wsoap,3,2139,1,1000000001,gabow,0,0,0,0
networkrepository/foodweb-baydry.wsoap,3,2139,1,1000000001,spaghetti,0,0,0,0
networkrepository/foodweb-baywet.wsoap,3,2108,1,1000000005,gabow,0,0,0,0
networkrepository/foodweb-baywet.wsoap,3,2108,1,1000000005,spaghetti,0,0,0,0
networkrepository/football.wsoap,36,153,1,15000000023,gabow,0,0,0,0
networkrepository/football.wsoap,36,153,1,15000000023,spaghetti,0,0,0,0
networkrepository/fs-EAT_SR.wsoap,23219,348807,1,455000028095,gabow,6,27,0,1
networkrepository/fs-EAT_SR.wsoap,23219,348807,1,455000028095,spaghetti,2,4,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,gabow,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,spaghetti,0,0,0,0
networkrepository/GD01_c.wsoap,34,168,1,3000000031,gabow,0,0,0,0
networkrepository/GD01_c.wsoap,34,168,1,3000000031,spaghetti,0,0,0,0
networkrepository/GD96_a.wsoap,1097,2773,1,1000001095,gabow,0,0,0,0
networkrepository/GD96_a.wsoap,1097,2773,1,1000001095,spaghetti,0,0,0,0
networkrepository/ia-digg-reply.soap,29653,116855,1,13231000107104,gabow,4,12,0,2
networkrepository/ia-digg-reply.soap,29653,116855,1,13231000107104,spaghetti,1,2,0,0
networkrepository/ia-email-EU-dir.soap,224833,620102,1,169991000516190,gabow,17,105,1,52
networkrepository/ia-email-EU-dir.soap,224833,620102,1,169991000516190,spaghetti,4,34,0,0
networkrepository/ia-radoslaw-email.soap,168,83094,1,27000000157,gabow,0,1,0,0
networkrepository/ia-radoslaw-email.soap,168,83094,1,27000000157,spaghetti,0,8,0,0
networkrepository/ia-slashdot-reply-dir.soap,51084,191861,1,28753000163848,gabow,7,25,0,6
networkrepository/ia-slashdot-reply-dir.soap,51084,191861,1,28753000163848,spaghetti,2,10,0,0
networkrepository/ia-wiki-trust-dir.soap,137741,877581,1,7233001026919,gabow,28,115,2,10
networkrepository/ia-wiki-trust-dir.soap,137741,877581,1,7233001026919,spaghetti,7,17,0,0
networkrepository/inf-openflights.soap,2906,33347,1,15000017395,gabow,0,3,0,0
networkrepository/inf-openflights.soap,2906,33347,1,15000017395,spaghetti,0,35,0,0
networkrepository/internet.wsoap,124652,331865,1,1002255138,gabow,11,32,1,9
networkrepository/internet.wsoap,124652,331865,1,1002255138,spaghetti,2,20,0,0
networkrepository/jpwh_991.wsoap,984,7002,1,1000015712,gabow,0,0,0,0
networkrepository/jpwh_991.wsoap,984,7002,1,1000015712,spaghetti,0,9,0,0
networkrepository/lasagne-spanishbook.soap,12644,70415,1,1625000091643,gabow,2,7,0,1
networkrepository/lasagne-spanishbook.soap,12644,70415,1,1625000091643,spaghetti,0,0,0,0
networkrepository/Lederberg.wsoap,8213,49711,1,136000008076,gabow,1,1,0,0
networkrepository/Lederberg.wsoap,8213,49711,1,136000008076,spaghetti,0,0,0,0
networkrepository/linux.soap,30818,261018,1,18812000071041,gabow,4,34,0,3
networkrepository/linux.soap,30818,261018,1,18812000071041,spaghetti,1,6,0,0
networkrepository/maayan-faa.soap,1227,3841,1,16000010036,gabow,0,0,0,0
networkrepository/maayan-faa.soap,1227,3841,1,16000010036,spaghetti,0,0,0,0
networkrepository/maayan-figeys.soap,2218,8655,1,200000015347,gabow,0,0,0,0
networkrepository/maayan-figeys.soap,2218,8655,1,200000015347,spaghetti,0,0,0,0
networkrepository/maayan-foodweb.soap,184,2677,1,1000001119,gabow,0,0,0,0
networkrepository/maayan-foodweb.soap,184,2677,1,1000001119,spaghetti,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,gabow,0,1,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,spaghetti,0,0,0,0
networkrepository/misc-jung-code-dep.soap,6121,144826,1,3921000011250,gabow,2,8,0,0
networkrepository/misc-jung-code-dep.soap,6121,144826,1,3921000011250,spaghetti,1,3,0,0
networkrepository/moreno_highschool.soap,71,576,1,3000000340,gabow,0,0,0,0
networkrepository/moreno_highschool.soap,71,576,1,3000000340,spaghetti,0,0,0,0
networkrepository/moreno_mac.wsoap,63,1249,1,1000000062,gabow,0,0,0,0
networkrepository/moreno_mac.wsoap,63,1249,1,1000000062,spaghetti,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,gabow,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,spaghetti,0,0,0,0
networkrepository/munmun_digg_reply.soap,29653,116855,1,13231000107104,gabow,4,11,0,3
networkrepository/munmun_digg_reply.soap,29653,116855,1,13231000107104,spaghetti,1,2,0,0
networkrepository/munmun_twitter_social.soap,465018,1299814,1,1004347403,gabow,67,84,3,26
networkrepository/munmun_twitter_social.soap,465018,1299814,1,1004347403,spaghetti,7,7262,0,0
networkrepository/n3c6-b1.wsoap,106,315,1,90000000002,gabow,0,0,0,0
networkrepository/n3c6-b1.wsoap,106,315,1,90000000002,spaghetti,0,0,0,0
networkrepository/ODLIS.wsoap,2899,21142,1,885000002014,gabow,0,1,0,0
