file,n,m,weighted,opt,algo,con,run,rec,del
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,gabow,11,22,0,2
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,spaghetti,1,1,0,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,gabow,12,24,0,3
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,spaghetti,1,1,0,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,gabow,10,23,0,2
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,spaghetti,2,2,0,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,gabow,11,24,0,2
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,spaghetti,2,1,0,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,gabow,11,23,0,3
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,spaghetti,2,2,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,gabow,10,24,1,4
yosupo/random_00.wsoap,127669,145374,1,119282622630242,spaghetti,1,4,0,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,gabow,10,28,1,4
yosupo/random_01.wsoap,150763,168446,1,142247087752207,spaghetti,2,12,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,gabow,8,43,0,8
yosupo/random_02.wsoap,53336,173537,1,21192431283643,spaghetti,2,51,0,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,gabow,12,37,1,5
yosupo/random_03.wsoap,167105,192942,1,154804117296498,spaghetti,1,6,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,gabow,4,20,0,1
yosupo/random_04.wsoap,14868,113983,1,2199325501507,spaghetti,1,1076,0,0
